"Perioden";"Regio's";"Totaal alle onderliggende doodsoorzaken (aantal)";"Nieuwvormingen (aantal)";"Ziekten van hart en vaatstelsel (aantal)";"Ziekten van ademhalingsstelsel (aantal)"
"2018";"Hardinxveld-Giessendam";157;39;44;16
"2019";"Hardinxveld-Giessendam";176;50;50;13
"2020";"Hardinxveld-Giessendam";205;57;47;7
"2018";"Haren";247;58;65;18
"2019";"Haren";;;;
"2020";"Haren";;;;
"2018";"Harenkarspel";;;;
"2019";"Harenkarspel";;;;
"2020";"Harenkarspel";;;;
"2018";"Harlingen";169;53;44;21
"2019";"Harlingen";170;52;45;13
"2020";"Harlingen";185;51;47;17
"2018";"Harmelen";;;;
"2019";"Harmelen";;;;
"2020";"Harmelen";;;;
"2018";"Hasselt";;;;
"2019";"Hasselt";;;;
"2020";"Hasselt";;;;
"2018";"Hattem";115;36;29;10
"2019";"Hattem";129;56;32;13
"2020";"Hattem";124;39;31;8
"2018";"Havelte";;;;
"2019";"Havelte";;;;
"2020";"Havelte";;;;
"2018";"Hedel";;;;
"2019";"Hedel";;;;
"2020";"Hedel";;;;
"2018";"Heel";;;;
"2019";"Heel";;;;
"2020";"Heel";;;;
"2018";"Heemskerk";437;130;117;30
"2019";"Heemskerk";399;124;103;38
"2020";"Heemskerk";448;129;92;31
"2018";"Heemstede";318;85;83;19
"2019";"Heemstede";341;85;93;24
"2020";"Heemstede";403;111;86;28
"2018";"Heerde";201;56;52;24
"2019";"Heerde";245;75;54;24
"2020";"Heerde";260;54;52;18
"2018";"Heerenveen";562;157;151;59
"2019";"Heerenveen";494;167;128;34
"2020";"Heerenveen";547;157;136;44
"2018";"Heerewaarden";;;;
"2019";"Heerewaarden";;;;
"2020";"Heerewaarden";;;;
"2018";"Heerhugowaard";387;142;73;33
"2019";"Heerhugowaard";374;134;81;21
"2020";"Heerhugowaard";453;150;91;31
"2018";"Heerjansdam";;;;
"2019";"Heerjansdam";;;;
"2020";"Heerjansdam";;;;
"2018";"Heerlen";1087;343;278;95
"2019";"Heerlen";1066;298;280;115
"2020";"Heerlen";1168;333;234;85
"2018";"Heeze";;;;
"2019";"Heeze";;;;
"2020";"Heeze";;;;
"2018";"Heeze-Leende";165;47;51;7
"2019";"Heeze-Leende";165;50;43;13
"2020";"Heeze-Leende";181;47;45;11
"2018";"Heiloo";230;79;55;22
"2019";"Heiloo";189;67;41;13
"2020";"Heiloo";263;72;60;18
"2018";"Heino";;;;
"2019";"Heino";;;;
"2020";"Heino";;;;
"2018";"Helden";;;;
"2019";"Helden";;;;
"2020";"Helden";;;;
"2018";"Den Helder";581;210;137;40
"2019";"Den Helder";582;194;132;51
"2020";"Den Helder";614;185;142;56
"2018";"Hellendoorn";400;112;95;53
"2019";"Hellendoorn";333;105;75;32
"2020";"Hellendoorn";390;103;99;33
"2018";"Hellevoetsluis";359;116;77;50
"2019";"Hellevoetsluis";347;126;88;30
"2020";"Hellevoetsluis";342;115;61;24
"2018";"Helmond";721;225;184;76
"2019";"Helmond";711;254;165;71
"2020";"Helmond";870;234;173;63
"2018";"Hendrik-Ido-Ambacht";223;79;58;15
"2019";"Hendrik-Ido-Ambacht";228;83;56;16
"2020";"Hendrik-Ido-Ambacht";251;66;58;11
"2018";"Hengelo (Gld.)";;;;
"2019";"Hengelo (Gld.)";;;;
"2020";"Hengelo (Gld.)";;;;
"2018";"Hengelo (O.)";824;254;217;85
"2019";"Hengelo (O.)";803;245;205;61
"2020";"Hengelo (O.)";868;240;191;49
"2018";"'s-Hertogenbosch";1351;453;331;107
"2019";"'s-Hertogenbosch";1331;413;335;104
"2020";"'s-Hertogenbosch";1493;450;275;102
"2018";"Heteren";;;;
"2019";"Heteren";;;;
"2020";"Heteren";;;;
"2018";"Heumen";129;36;36;6
"2019";"Heumen";159;56;36;10
"2020";"Heumen";166;57;29;7
"2018";"Heusden";337;107;104;20
"2019";"Heusden";364;125;96;24
"2020";"Heusden";423;107;96;22
"2018";"Heythuysen";;;;
"2019";"Heythuysen";;;;
"2020";"Heythuysen";;;;
"2018";"Hillegom";234;69;50;23
"2019";"Hillegom";218;68;55;16
"2020";"Hillegom";219;71;50;14
"2018";"Hilvarenbeek";153;62;32;14
"2019";"Hilvarenbeek";116;41;39;8
"2020";"Hilvarenbeek";154;44;39;6
"2018";"Hilversum";916;233;243;84
"2019";"Hilversum";879;258;230;52
"2020";"Hilversum";922;242;224;60
"2018";"Hoeksche Waard";;;;
"2019";"Hoeksche Waard";796;279;194;69
"2020";"Hoeksche Waard";858;248;183;60
"2018";"Hoevelaken";;;;
"2019";"Hoevelaken";;;;
"2020";"Hoevelaken";;;;
"2018";"Hoeven";;;;
"2019";"Hoeven";;;;
"2020";"Hoeven";;;;
"2018";"Hof van Twente";398;121;94;33
"2019";"Hof van Twente";369;123;112;29
"2020";"Hof van Twente";417;112;104;30
"2018";"Het Hogeland";;;;
"2019";"Het Hogeland";490;188;103;47
"2020";"Het Hogeland";495;164;93;49
"2018";"Hollands Kroon";403;127;107;27
"2019";"Hollands Kroon";377;129;89;24
"2020";"Hollands Kroon";409;131;87;29
"2018";"Holten";;;;
"2019";"Holten";;;;
"2020";"Holten";;;;
"2018";"Hontenisse";;;;
"2019";"Hontenisse";;;;
"2020";"Hontenisse";;;;
"2018";"Hooge en Lage Mierde";;;;
"2019";"Hooge en Lage Mierde";;;;
"2020";"Hooge en Lage Mierde";;;;
"2018";"Hooge en Lage Zwaluwe";;;;
"2019";"Hooge en Lage Zwaluwe";;;;
"2020";"Hooge en Lage Zwaluwe";;;;
"2018";"Hoogeloon, Hapert en Casteren";;;;
"2019";"Hoogeloon, Hapert en Casteren";;;;
"2020";"Hoogeloon, Hapert en Casteren";;;;
"2018";"Hoogeveen";584;181;143;54
"2019";"Hoogeveen";520;176;119;36
"2020";"Hoogeveen";597;187;150;30
"2018";"Hoogezand-Sappemeer";;;;
"2019";"Hoogezand-Sappemeer";;;;
"2020";"Hoogezand-Sappemeer";;;;
"2018";"Hoorn";635;203;144;51
"2019";"Hoorn";679;200;160;43
"2020";"Hoorn";689;202;150;38
"2018";"Horst";;;;
"2019";"Horst";;;;
"2020";"Horst";;;;
"2018";"Horst aan de Maas";372;116;93;35
"2019";"Horst aan de Maas";419;133;99;36
"2020";"Horst aan de Maas";455;140;94;32
"2018";"Houten";308;100;75;28
"2019";"Houten";265;99;69;16
"2020";"Houten";324;84;60;22
"2018";"Huijbergen";;;;
"2019";"Huijbergen";;;;
"2020";"Huijbergen";;;;
"2018";"Huissen";;;;
"2019";"Huissen";;;;
"2020";"Huissen";;;;
"2018";"Huizen";436;128;97;30
"2019";"Huizen";425;126;93;33
"2020";"Huizen";488;110;113;25
"2018";"Hulst";289;86;82;25
"2019";"Hulst";277;65;86;17
"2020";"Hulst";320;90;85;17
"2018";"Hummelo en Keppel";;;;
"2019";"Hummelo en Keppel";;;;
"2020";"Hummelo en Keppel";;;;
"2018";"Hunsel";;;;
"2019";"Hunsel";;;;
"2020";"Hunsel";;;;
"2018";"IJsselham";;;;
"2019";"IJsselham";;;;
"2020";"IJsselham";;;;
"2018";"IJsselmuiden";;;;
"2019";"IJsselmuiden";;;;
"2020";"IJsselmuiden";;;;
"2018";"IJsselstein";265;82;59;23
"2019";"IJsselstein";293;87;75;23
"2020";"IJsselstein";329;77;61;19
"2018";"Jacobswoude";;;;
"2019";"Jacobswoude";;;;
"2020";"Jacobswoude";;;;
"2018";"Kaag en Braassem";213;66;51;16
"2019";"Kaag en Braassem";215;69;50;16
"2020";"Kaag en Braassem";218;79;33;15
"2018";"Kampen";463;136;128;37
"2019";"Kampen";398;135;110;30
"2020";"Kampen";476;134;91;26
"2018";"Kapelle";100;29;25;7
"2019";"Kapelle";111;34;28;10
"2020";"Kapelle";105;34;28;7
"2018";"Katwijk";578;192;131;55
"2019";"Katwijk";536;153;129;42
"2020";"Katwijk";614;196;135;32
"2018";"Kerkrade";667;169;197;60
"2019";"Kerkrade";658;169;193;54
"2020";"Kerkrade";732;183;174;80
"2018";"Kerkwijk";;;;
"2019";"Kerkwijk";;;;
"2020";"Kerkwijk";;;;
"2018";"Kessel";;;;
"2019";"Kessel";;;;
"2020";"Kessel";;;;
"2018";"Kesteren";;;;
"2019";"Kesteren";;;;
"2020";"Kesteren";;;;
"2018";"Klundert";;;;
"2019";"Klundert";;;;
"2020";"Klundert";;;;
"2018";"Koggenland";191;56;37;18
"2019";"Koggenland";187;57;46;16
"2020";"Koggenland";196;56;43;12
"2018";"Kollumerland en Nieuwkruisland";123;35;25;13
"2019";"Kollumerland en Nieuwkruisland";;;;
"2020";"Kollumerland en Nieuwkruisland";;;;
"2018";"Korendijk";101;43;12;8
"2019";"Korendijk";;;;
"2020";"Korendijk";;;;
"2018";"Krimpen aan den IJssel";288;93;71;20
"2019";"Krimpen aan den IJssel";283;86;74;20
"2020";"Krimpen aan den IJssel";352;90;73;10
"2018";"Krimpenerwaard";456;132;111;47
"2019";"Krimpenerwaard";475;164;115;34
"2020";"Krimpenerwaard";513;151;97;38
"2018";"Laarbeek";205;72;49;17
"2019";"Laarbeek";217;75;52;17
"2020";"Laarbeek";257;57;45;18
"2018";"Landerd";136;33;32;14
"2019";"Landerd";143;44;35;6
"2020";"Landerd";163;37;19;8
"2018";"Landgraaf";437;130;96;57
"2019";"Landgraaf";428;134;107;47
"2020";"Landgraaf";483;156;101;28
"2018";"Landsmeer";107;35;24;4
"2019";"Landsmeer";99;30;29;5
"2020";"Landsmeer";106;45;24;9
"2018";"Langedijk";195;71;42;16
"2019";"Langedijk";186;83;34;10
"2020";"Langedijk";205;60;47;13
"2018";"Lansingerland";384;151;81;19
"2019";"Lansingerland";389;145;74;38
"2020";"Lansingerland";423;108;79;26
"2018";"Laren (NH.)";222;29;62;21
"2019";"Laren (NH.)";234;58;59;19
"2020";"Laren (NH.)";289;62;61;16
"2018";"Leek";195;60;48;20
"2019";"Leek";;;;
"2020";"Leek";;;;
"2018";"Leende";;;;
"2019";"Leende";;;;
"2020";"Leende";;;;
"2018";"Leerdam";226;61;45;20
"2019";"Leerdam";;;;
"2020";"Leerdam";;;;
"2018";"Leersum";;;;
"2019";"Leersum";;;;
"2020";"Leersum";;;;
"2018";"Leeuwarden";1050;305;247;105
"2019";"Leeuwarden";1181;355;292;86
"2020";"Leeuwarden";1100;331;255;75
"2018";"Leeuwarderadeel";;;;
"2019";"Leeuwarderadeel";;;;
"2020";"Leeuwarderadeel";;;;
"2018";"Leiden";956;286;187;88
"2019";"Leiden";992;266;217;101
"2020";"Leiden";1008;294;189;58
"2018";"Leiderdorp";263;77;58;31
"2019";"Leiderdorp";239;74;52;34
"2020";"Leiderdorp";249;76;63;13
"2018";"Leidschendam";;;;
"2019";"Leidschendam";;;;
"2020";"Leidschendam";;;;
"2018";"Leidschendam-Voorburg";682;218;168;51
"2019";"Leidschendam-Voorburg";755;272;190;62
"2020";"Leidschendam-Voorburg";806;228;162;48
"2018";"Lelystad";589;190;140;69
"2019";"Lelystad";599;211;146;51
"2020";"Lelystad";683;203;128;50
"2018";"Lemsterland";;;;
"2019";"Lemsterland";;;;
"2020";"Lemsterland";;;;
"2018";"Leudal";393;110;104;44
"2019";"Leudal";362;112;85;32
"2020";"Leudal";451;107;96;33
"2018";"Leusden";255;72;64;20
"2019";"Leusden";235;59;69;14
"2020";"Leusden";254;73;45;13
"2018";"Lichtenvoorde";;;;
"2019";"Lichtenvoorde";;;;
"2020";"Lichtenvoorde";;;;
"2018";"Liemeer";;;;
"2019";"Liemeer";;;;
"2020";"Liemeer";;;;
"2018";"Lienden";;;;
"2019";"Lienden";;;;
"2020";"Lienden";;;;
"2018";"De Lier";;;;
"2019";"De Lier";;;;
"2020";"De Lier";;;;
"2018";"Lieshout";;;;
"2019";"Lieshout";;;;
"2020";"Lieshout";;;;
"2018";"Liesveld";;;;
"2019";"Liesveld";;;;
"2020";"Liesveld";;;;
"2018";"Limmen";;;;
"2019";"Limmen";;;;
"2020";"Limmen";;;;
"2018";"Lingewaal";85;26;25;7
"2019";"Lingewaal";;;;
"2020";"Lingewaal";;;;
"2018";"Lingewaard";401;142;92;42
"2019";"Lingewaard";381;137;80;19
"2020";"Lingewaard";430;120;106;33
"2018";"Lisse";201;62;53;20
"2019";"Lisse";187;57;51;14
"2020";"Lisse";231;80;53;12
"2018";"Lith";;;;
"2019";"Lith";;;;
"2020";"Lith";;;;
"2018";"Littenseradiel";;;;
"2019";"Littenseradiel";;;;
"2020";"Littenseradiel";;;;
"2018";"Lochem";382;109;96;28
"2019";"Lochem";401;109;99;34
"2020";"Lochem";445;127;99;23
"2018";"Loenen";;;;
"2019";"Loenen";;;;
"2020";"Loenen";;;;
"2018";"Loon op Zand";249;86;67;19
"2019";"Loon op Zand";220;70;55;15
"2020";"Loon op Zand";274;60;50;22
"2018";"Loosdrecht";;;;
"2019";"Loosdrecht";;;;
"2020";"Loosdrecht";;;;
"2018";"Lopik";81;26;19;8
"2019";"Lopik";86;32;19;6
"2020";"Lopik";89;27;15;8
"2018";"Loppersum";87;29;23;10
"2019";"Loppersum";89;28;32;3
"2020";"Loppersum";69;21;18;8
"2018";"Losser";203;56;61;24
"2019";"Losser";223;85;55;13
"2020";"Losser";261;76;65;19
"2018";"Luyksgestel";;;;
"2019";"Luyksgestel";;;;
"2020";"Luyksgestel";;;;
"2018";"Maarheeze";;;;
"2019";"Maarheeze";;;;
"2020";"Maarheeze";;;;
"2018";"Maarn";;;;
"2019";"Maarn";;;;
"2020";"Maarn";;;;
"2018";"Maarssen";;;;
"2019";"Maarssen";;;;
"2020";"Maarssen";;;;
"2018";"Maartensdijk";;;;
"2019";"Maartensdijk";;;;
"2020";"Maartensdijk";;;;
"2018";"Maasbracht";;;;
"2019";"Maasbracht";;;;
"2020";"Maasbracht";;;;
"2018";"Maasbree";;;;
"2019";"Maasbree";;;;
"2020";"Maasbree";;;;
"2018";"Maasdonk";;;;
"2019";"Maasdonk";;;;
"2020";"Maasdonk";;;;
"2018";"Maasdriel";226;67;55;21
"2019";"Maasdriel";208;74;44;14
"2020";"Maasdriel";234;63;61;14
"2018";"Maasgouw";273;83;61;40
"2019";"Maasgouw";274;77;64;25
"2020";"Maasgouw";324;73;77;27
"2018";"Maasland";;;;
"2019";"Maasland";;;;
"2020";"Maasland";;;;
"2018";"Maassluis";330;104;81;29
"2019";"Maassluis";329;94;70;31
"2020";"Maassluis";363;126;64;13
"2018";"Maastricht";1225;353;324;97
"2019";"Maastricht";1298;378;316;116
"2020";"Maastricht";1482;373;319;99
"2018";"Made";;;;
"2019";"Made";;;;
"2020";"Made";;;;
"2018";"Made en Drimmelen";;;;
"2019";"Made en Drimmelen";;;;
"2020";"Made en Drimmelen";;;;
"2018";"Margraten";;;;
"2019";"Margraten";;;;
"2020";"Margraten";;;;
"2018";"Mariekerke";;;;
"2019";"Mariekerke";;;;
"2020";"Mariekerke";;;;
"2018";"Markelo";;;;
"2019";"Markelo";;;;
"2020";"Markelo";;;;
"2018";"De Marne";113;44;21;8
"2019";"De Marne";;;;
"2020";"De Marne";;;;
"2018";"Marum";101;33;28;7
"2019";"Marum";;;;
"2020";"Marum";;;;
"2018";"Maurik";;;;
"2019";"Maurik";;;;
"2020";"Maurik";;;;
"2018";"Medemblik";365;123;74;30
"2019";"Medemblik";400;127;78;24
"2020";"Medemblik";421;143;86;28
"2018";"Meerlo-Wanssum";;;;
"2019";"Meerlo-Wanssum";;;;
"2020";"Meerlo-Wanssum";;;;
"2018";"Meerssen";229;75;52;23
"2019";"Meerssen";217;72;62;17
"2020";"Meerssen";264;66;53;23
"2018";"Meierijstad";685;213;190;43
"2019";"Meierijstad";720;247;172;58
"2020";"Meierijstad";917;230;170;39
"2018";"Meijel";;;;
"2019";"Meijel";;;;
"2020";"Meijel";;;;
"2018";"Menaldumadeel";;;;
"2019";"Menaldumadeel";;;;
"2020";"Menaldumadeel";;;;
"2018";"Menameradiel";;;;
"2019";"Menameradiel";;;;
"2020";"Menameradiel";;;;
"2018";"Menterwolde";;;;
"2019";"Menterwolde";;;;
"2020";"Menterwolde";;;;
"2018";"Meppel";339;102;103;22
"2019";"Meppel";333;100;76;28
"2020";"Meppel";322;101;76;20
"2018";"Middelburg (Z.)";478;146;128;43
"2019";"Middelburg (Z.)";492;144;125;36
"2020";"Middelburg (Z.)";438;108;97;32
"2018";"Middelharnis";;;;
"2019";"Middelharnis";;;;
"2020";"Middelharnis";;;;
"2018";"Midden-Delfland";129;43;28;10
"2019";"Midden-Delfland";139;37;31;12
"2020";"Midden-Delfland";137;38;30;13
"2018";"Midden-Drenthe";339;99;93;32
"2019";"Midden-Drenthe";367;119;108;26
"2020";"Midden-Drenthe";371;120;110;23
"2018";"Midden-Groningen";619;208;161;53
"2019";"Midden-Groningen";580;223;141;48
"2020";"Midden-Groningen";605;210;145;41
"2018";"Middenschouwen";;;;
"2019";"Middenschouwen";;;;
"2020";"Middenschouwen";;;;
"2018";"Middenveld";;;;
"2019";"Middenveld";;;;
"2020";"Middenveld";;;;
"2018";"Mierlo";;;;
"2019";"Mierlo";;;;
"2020";"Mierlo";;;;
"2018";"Mill en Sint Hubert";98;34;25;10
"2019";"Mill en Sint Hubert";92;30;28;9
"2020";"Mill en Sint Hubert";125;33;28;10
"2018";"Millingen aan de Rijn";;;;
"2019";"Millingen aan de Rijn";;;;
"2020";"Millingen aan de Rijn";;;;
"2018";"Moerdijk";380;105;101;56
"2019";"Moerdijk";370;119;89;39
"2020";"Moerdijk";395;121;80;25
"2018";"Moergestel";;;;
"2019";"Moergestel";;;;
"2020";"Moergestel";;;;
"2018";"Molenlanden";;;;
"2019";"Molenlanden";323;110;91;18
"2020";"Molenlanden";305;91;74;14
"2018";"Molenwaard";203;56;57;16
"2019";"Molenwaard";;;;
"2020";"Molenwaard";;;;
"2018";"Monster";;;;
"2019";"Monster";;;;
"2020";"Monster";;;;
"2018";"Montferland";347;117;82;37
"2019";"Montferland";399;126;101;30
"2020";"Montferland";405;136;106;23
"2018";"Montfoort";83;29;20;7
"2019";"Montfoort";90;41;17;6
"2020";"Montfoort";89;34;16;5
"2018";"Mook en Middelaar";54;23;13;6
"2019";"Mook en Middelaar";66;30;18;2
"2020";"Mook en Middelaar";69;20;15;4
"2018";"Moordrecht";;;;
"2019";"Moordrecht";;;;
"2020";"Moordrecht";;;;
"2018";"Muiden";;;;
"2019";"Muiden";;;;
"2020";"Muiden";;;;
"2018";"Naaldwijk";;;;
"2019";"Naaldwijk";;;;
"2020";"Naaldwijk";;;;
"2018";"Naarden";;;;
"2019";"Naarden";;;;
"2020";"Naarden";;;;
"2018";"Neder-Betuwe";182;62;53;18
"2019";"Neder-Betuwe";184;61;49;16
"2020";"Neder-Betuwe";210;52;46;20
"2018";"Nederhorst den Berg";;;;
"2019";"Nederhorst den Berg";;;;
"2020";"Nederhorst den Berg";;;;
"2018";"Nederlek";;;;
"2019";"Nederlek";;;;
"2020";"Nederlek";;;;
"2018";"Nederweert";146;55;30;19
"2019";"Nederweert";125;32;30;13
"2020";"Nederweert";172;45;35;12
"2018";"Neede";;;;
"2019";"Neede";;;;
"2020";"Neede";;;;
"2018";"Neerijnen";98;32;20;11
"2019";"Neerijnen";;;;
"2020";"Neerijnen";;;;
"2018";"Niedorp";;;;
"2019";"Niedorp";;;;
"2020";"Niedorp";;;;
"2018";"Nieuwegein";454;161;110;34
"2019";"Nieuwegein";434;168;103;27
"2020";"Nieuwegein";454;158;92;35
"2018";"Nieuwerkerk aan den IJssel";;;;
"2019";"Nieuwerkerk aan den IJssel";;;;
"2020";"Nieuwerkerk aan den IJssel";;;;
"2018";"Nieuw-Ginneken";;;;
"2019";"Nieuw-Ginneken";;;;
"2020";"Nieuw-Ginneken";;;;
"2018";"Nieuwkoop";220;82;56;12
"2019";"Nieuwkoop";202;61;43;18
"2020";"Nieuwkoop";264;87;53;12
"2018";"Nieuw-Lekkerland";;;;
"2019";"Nieuw-Lekkerland";;;;
"2020";"Nieuw-Lekkerland";;;;
"2018";"Nieuwleusen";;;;
"2019";"Nieuwleusen";;;;
"2020";"Nieuwleusen";;;;
"2018";"Nieuw-Vossemeer";;;;
"2019";"Nieuw-Vossemeer";;;;
"2020";"Nieuw-Vossemeer";;;;
"2018";"Nijefurd";;;;
"2019";"Nijefurd";;;;
"2020";"Nijefurd";;;;
"2018";"Nijeveen";;;;
"2019";"Nijeveen";;;;
"2020";"Nijeveen";;;;
"2018";"Nijkerk";284;98;59;28
"2019";"Nijkerk";314;106;82;23
"2020";"Nijkerk";299;104;69;18
"2018";"Nijmegen";1392;431;317;121
"2019";"Nijmegen";1352;455;325;119
"2020";"Nijmegen";1555;452;342;99
"2018";"Nissewaard";662;227;160;67
"2019";"Nissewaard";710;270;146;53
"2020";"Nissewaard";784;253;172;34
"2018";"Noardeast-Fryslân";;;;
"2019";"Noardeast-Fryslân";415;132;112;35
"2020";"Noardeast-Fryslân";485;146;125;23
"2018";"Noord-Beveland";81;24;23;6
"2019";"Noord-Beveland";83;28;19;7
"2020";"Noord-Beveland";86;23;22;5
"2018";"Noordenveld";331;115;86;34
"2019";"Noordenveld";318;97;83;33
"2020";"Noordenveld";369;118;86;27
"2018";"Noorder-Koggenland";;;;
"2019";"Noorder-Koggenland";;;;
"2020";"Noorder-Koggenland";;;;
"2018";"Noordoostpolder";353;106;110;26
"2019";"Noordoostpolder";355;122;92;23
"2020";"Noordoostpolder";393;118;95;19
"2018";"Noordwijk";282;92;66;31
"2019";"Noordwijk";385;130;89;31
"2020";"Noordwijk";415;116;99;25
"2018";"Noordwijkerhout";140;50;31;11
"2019";"Noordwijkerhout";;;;
"2020";"Noordwijkerhout";;;;
"2018";"Nootdorp";;;;
"2019";"Nootdorp";;;;
"2020";"Nootdorp";;;;
"2018";"Norg";;;;
"2019";"Norg";;;;
"2020";"Norg";;;;
"2018";"Nuenen, Gerwen en Nederwetten";228;76;52;23
"2019";"Nuenen, Gerwen en Nederwetten";189;72;43;8
"2020";"Nuenen, Gerwen en Nederwetten";211;57;44;14
"2018";"Nunspeet";256;78;73;18
"2019";"Nunspeet";246;61;78;19
"2020";"Nunspeet";345;80;75;18
"2018";"Nuth";163;57;35;21
"2019";"Nuth";;;;
"2020";"Nuth";;;;
"2018";"Obdam";;;;
"2019";"Obdam";;;;
"2020";"Obdam";;;;
"2018";"Odoorn";;;;
"2019";"Odoorn";;;;
"2020";"Odoorn";;;;
"2018";"Oegstgeest";242;62;44;26
"2019";"Oegstgeest";205;62;57;14
"2020";"Oegstgeest";266;71;65;9
"2018";"Oirschot";179;60;41;20
"2019";"Oirschot";187;52;56;11
"2020";"Oirschot";225;57;48;16
"2018";"Oisterwijk";285;94;66;25
"2019";"Oisterwijk";293;90;65;28
"2020";"Oisterwijk";284;92;52;17
"2018";"Oldambt";527;175;125;55
"2019";"Oldambt";456;151;111;38
"2020";"Oldambt";495;150;136;35
"2018";"Oldebroek";196;68;53;16
"2019";"Oldebroek";173;56;50;10
"2020";"Oldebroek";244;67;42;18
"2018";"Oldenzaal";294;78;83;37
"2019";"Oldenzaal";347;115;98;37
"2020";"Oldenzaal";350;91;89;22
"2018";"Olst";;;;
"2019";"Olst";;;;
"2020";"Olst";;;;
"2018";"Olst-Wijhe";169;40;43;20
"2019";"Olst-Wijhe";174;52;41;15
"2020";"Olst-Wijhe";199;49;50;12
"2018";"Ommen";160;50;46;14
"2019";"Ommen";139;38;26;20
"2020";"Ommen";181;56;39;11
"2018";"Onderbanken";79;22;16;7
"2019";"Onderbanken";;;;
"2020";"Onderbanken";;;;
"2018";"Oost Gelre";268;84;74;27
"2019";"Oost Gelre";294;89;68;22
"2020";"Oost Gelre";316;104;63;18
"2018";"Oost-, West- en Middelbeers";;;;
"2019";"Oost-, West- en Middelbeers";;;;
"2020";"Oost-, West- en Middelbeers";;;;
"2018";"Oostburg";;;;
"2019";"Oostburg";;;;
"2020";"Oostburg";;;;
"2018";"Oosterhesselen";;;;
"2019";"Oosterhesselen";;;;
"2020";"Oosterhesselen";;;;
"2018";"Oosterhout";531;165;153;47
"2019";"Oosterhout";500;173;144;38
"2020";"Oosterhout";582;173;132;38
"2018";"Oostflakkee";;;;
"2019";"Oostflakkee";;;;
"2020";"Oostflakkee";;;;
"2018";"Ooststellingwerf";296;76;86;20
"2019";"Ooststellingwerf";280;74;70;23
"2020";"Ooststellingwerf";276;72;75;21
"2018";"Oostzaan";75;22;13;2
"2019";"Oostzaan";76;27;13;7
"2020";"Oostzaan";91;28;21;7
"2018";"Ootmarsum";;;;
"2019";"Ootmarsum";;;;
"2020";"Ootmarsum";;;;
"2018";"Opmeer";91;25;22;12
"2019";"Opmeer";90;29;22;7
"2020";"Opmeer";97;31;14;6
"2018";"Opsterland";275;82;69;27
"2019";"Opsterland";274;76;73;23
"2020";"Opsterland";290;86;79;14
"2018";"Oss";781;265;182;76
"2019";"Oss";758;249;203;58
"2020";"Oss";924;246;188;50
"2018";"Ossendrecht";;;;
"2019";"Ossendrecht";;;;
"2020";"Ossendrecht";;;;
"2018";"Oud en Nieuw Gastel";;;;
"2019";"Oud en Nieuw Gastel";;;;
"2020";"Oud en Nieuw Gastel";;;;
"2018";"Oud-Beijerland";209;62;55;17
"2019";"Oud-Beijerland";;;;
"2020";"Oud-Beijerland";;;;
"2018";"Oude IJsselstreek";492;142;146;46
"2019";"Oude IJsselstreek";468;113;132;46
"2020";"Oude IJsselstreek";524;127;129;40
"2018";"Oudenbosch";;;;
"2019";"Oudenbosch";;;;
"2020";"Oudenbosch";;;;
"2018";"Ouder-Amstel";113;39;31;10
"2019";"Ouder-Amstel";97;42;18;7
"2020";"Ouder-Amstel";92;22;26;3
"2018";"Ouderkerk";;;;
"2019";"Ouderkerk";;;;
"2020";"Ouderkerk";;;;
"2018";"Oudewater";92;27;26;12
"2019";"Oudewater";82;21;23;6
"2020";"Oudewater";86;18;26;6
"2018";"Overbetuwe";345;125;69;38
"2019";"Overbetuwe";364;130;89;38
