"﻿""Perioden""","""Regio's""","""Bevolking aan het begin van de periode (aantal)""","""Levend geboren kinderen (aantal)""","""Overledenen (aantal)""","""Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)""","""Bevolkingsgroei/Bevolkingsgroei, relatief (%)"""
"""2020""","""Enschede""",159640,1299,1631,6136,"0,06"
"""2021*""","""Enschede""",159732,1375,1620,6010,"0,52"
"""2019""","""Epe""",33145,256,345,1076,"0,1"
"""2020""","""Epe""",33178,295,396,1205,"0,06"
"""2021*""","""Epe""",33198,318,385,1176,"0,19"
"""2019""","""Ermelo""",26858,267,298,1369,"0,56"
"""2020""","""Ermelo""",27008,214,331,1275,"0,03"
"""2021*""","""Ermelo""",27016,247,328,1190,"0,9"
"""2019""","""Etten-Leur""",43774,432,396,1598,"0,24"
"""2020""","""Etten-Leur""",43878,376,421,1638,"-0,02"
"""2021*""","""Etten-Leur""",43869,423,404,1488,"0,64"
"""2019""","""Ferwerderadiel""",,,,,
"""2020""","""Ferwerderadiel""",,,,,
"""2021*""","""Ferwerderadiel""",,,,,
"""2019""","""Franekeradeel""",,,,,
"""2020""","""Franekeradeel""",,,,,
"""2021*""","""Franekeradeel""",,,,,
"""2019""","""De Friese Meren""",,,,,
"""2020""","""De Friese Meren""",,,,,
"""2021*""","""De Friese Meren""",,,,,
"""2019""","""De Fryske Marren""",51430,482,468,1859,"0,26"
"""2020""","""De Fryske Marren""",51564,483,496,1868,"0,42"
"""2021*""","""De Fryske Marren""",51778,502,584,2296,"-0,35"
"""2019""","""Gaasterlân-Sleat""",,,,,
"""2020""","""Gaasterlân-Sleat""",,,,,
"""2021*""","""Gaasterlân-Sleat""",,,,,
"""2019""","""Geertruidenberg""",21515,182,214,762,"0,13"
"""2020""","""Geertruidenberg""",21544,178,211,777,"1,05"
"""2021*""","""Geertruidenberg""",21770,223,237,774,"0,83"
"""2019""","""Geldermalsen""",,,,,
"""2020""","""Geldermalsen""",,,,,
"""2021*""","""Geldermalsen""",,,,,
"""2019""","""Geldrop""",,,,,
"""2020""","""Geldrop""",,,,,
"""2021*""","""Geldrop""",,,,,
"""2019""","""Geldrop-Mierlo""",39595,367,393,1721,"0,33"
"""2020""","""Geldrop-Mierlo""",39726,371,403,1759,"0,86"
"""2021*""","""Geldrop-Mierlo""",40066,407,391,1868,"0,12"
"""2019""","""Gemert-Bakel""",30447,287,246,990,"0,91"
"""2020""","""Gemert-Bakel""",30723,275,278,1041,"0,12"
"""2021*""","""Gemert-Bakel""",30760,352,271,1037,"0,9"
"""2019""","""Gendringen""",,,,,
"""2020""","""Gendringen""",,,,,
"""2021*""","""Gendringen""",,,,,
"""2019""","""Gennep""",17071,96,173,738,"-0,88"
"""2020""","""Gennep""",16921,122,200,625,"0,67"
"""2021*""","""Gennep""",17035,119,196,537,"1,23"
"""2019""","""Giessenlanden""",,,,,
"""2020""","""Giessenlanden""",,,,,
"""2021*""","""Giessenlanden""",,,,,
"""2019""","""Gilze en Rijen""",26431,246,210,2088,0
"""2020""","""Gilze en Rijen""",26431,257,222,3385,"1,1"
"""2021*""","""Gilze en Rijen""",26723,257,256,4483,"-0,49"
"""2019""","""Goedereede""",,,,,
"""2020""","""Goedereede""",,,,,
"""2021*""","""Goedereede""",,,,,
"""2019""","""Goeree-Overflakkee""",49611,508,525,1176,"0,88"
"""2020""","""Goeree-Overflakkee""",50049,473,558,1136,"1,08"
"""2021*""","""Goeree-Overflakkee""",50589,502,535,1116,"0,9"
"""2019""","""Goes""",37653,327,413,1648,"1,14"
"""2020""","""Goes""",38082,346,441,1396,"1,34"
"""2021*""","""Goes""",38594,345,490,1326,"0,92"
"""2019""","""Goirle""",23793,200,207,982,"0,47"
"""2020""","""Goirle""",23904,209,260,1103,"0,2"
"""2021*""","""Goirle""",23952,206,238,1069,"0,14"
"""2019""","""Gooise Meren""",57715,523,548,3138,"0,59"
"""2020""","""Gooise Meren""",58055,506,660,3410,"0,81"
"""2021*""","""Gooise Meren""",58524,604,620,3457,"0,55"
"""2019""","""Gorinchem""",36682,356,339,1462,"0,93"
"""2020""","""Gorinchem""",37022,401,335,1444,"1,05"
"""2021*""","""Gorinchem""",37410,393,383,1581,"0,57"
"""2019""","""Gorssel""",,,,,
"""2020""","""Gorssel""",,,,,
"""2021*""","""Gorssel""",,,,,
"""2019""","""Gouda""",73181,798,696,3056,"0,34"
"""2020""","""Gouda""",73427,756,780,3385,"0,35"
"""2021*""","""Gouda""",73681,812,728,3188,"0,61"
"""2019""","""Graafstroom""",,,,,
"""2020""","""Graafstroom""",,,,,
"""2021*""","""Graafstroom""",,,,,
"""2019""","""Graft-De Rijp""",,,,,
"""2020""","""Graft-De Rijp""",,,,,
"""2021*""","""Graft-De Rijp""",,,,,
"""2019""","""Grave""",12483,104,124,856,"-0,38"
"""2020""","""Grave""",12436,102,167,910,"0,4"
"""2021*""","""Grave""",12486,97,150,1085,"-0,11"
"""2019""","""'s-Gravendeel""",,,,,
"""2020""","""'s-Gravendeel""",,,,,
"""2021*""","""'s-Gravendeel""",,,,,
"""2019""","""'s-Gravenhage (gemeente)""",537833,6430,4091,23930,"1,49"
"""2020""","""'s-Gravenhage (gemeente)""",545838,6129,4539,24902,"0,45"
"""2021*""","""'s-Gravenhage (gemeente)""",548320,6051,4529,27071,"0,86"
"""2019""","""'s-Gravenzande""",,,,,
"""2020""","""'s-Gravenzande""",,,,,
"""2021*""","""'s-Gravenzande""",,,,,
"""2019""","""Groenlo""",,,,,
"""2020""","""Groenlo""",,,,,
"""2021*""","""Groenlo""",,,,,
"""2019""","""Groesbeek""",,,,,
"""2020""","""Groesbeek""",,,,,
"""2021*""","""Groesbeek""",,,,,
"""2019""","""Groningen (gemeente)""",231299,2036,1706,14520,"0,68"
"""2020""","""Groningen (gemeente)""",232874,2078,1805,14243,"0,17"
"""2021*""","""Groningen (gemeente)""",233273,2213,1843,14384,"0,73"
"""2019""","""Grootegast""",,,,,
"""2020""","""Grootegast""",,,,,
"""2021*""","""Grootegast""",,,,,
"""2019""","""Gulpen-Wittem""",14246,106,160,588,"-0,53"
"""2020""","""Gulpen-Wittem""",14171,102,213,529,"0,25"
"""2021*""","""Gulpen-Wittem""",14206,99,183,567,"-0,15"
"""2019""","""Haaksbergen""",24277,187,243,690,"0,14"
"""2020""","""Haaksbergen""",24311,201,285,797,"-0,34"
"""2021*""","""Haaksbergen""",24229,229,295,694,"0,16"
"""2019""","""Haaren""",14195,109,127,561,"1,23"
"""2020""","""Haaren""",14370,131,143,686,"-0,36"
"""2021*""","""Haaren""",,,,,
"""2019""","""Haarlem""",161265,1900,1406,8785,"1,02"
"""2020""","""Haarlem""",162902,1834,1511,9899,"-0,22"
"""2021*""","""Haarlem""",162543,1920,1522,9565,"0,21"
"""2019""","""Haarlemmerliede en Spaarnwoude""",,,,,
"""2020""","""Haarlemmerliede en Spaarnwoude""",,,,,
"""2021*""","""Haarlemmerliede en Spaarnwoude""",,,,,
"""2019""","""Haarlemmermeer""",154235,1397,1034,7732,"1,15"
"""2020""","""Haarlemmermeer""",156002,1513,1128,7407,"1,15"
"""2021*""","""Haarlemmermeer""",157789,1578,1141,7343,"0,98"
"""2019""","""Haelen""",,,,,
"""2020""","""Haelen""",,,,,
"""2021*""","""Haelen""",,,,,
"""2019""","""Halderberge""",30194,242,300,1229,"0,3"
"""2020""","""Halderberge""",30284,255,348,1192,"0,48"
"""2021*""","""Halderberge""",30430,271,365,1126,"1,1"
"""2019""","""Hardenberg""",60574,625,472,1901,"0,62"
"""2020""","""Hardenberg""",60948,604,526,1803,"0,67"
"""2021*""","""Hardenberg""",61357,679,564,2059,"0,71"
"""2019""","""Harderwijk""",47581,559,382,2204,"1,75"
"""2020""","""Harderwijk""",48414,495,403,2392,"0,64"
"""2021*""","""Harderwijk""",48726,531,472,2390,"0,27"
"""2019""","""Hardinxveld-Giessendam""",18051,229,176,525,"1,35"
"""2020""","""Hardinxveld-Giessendam""",18295,245,205,595,"0,64"
"""2021*""","""Hardinxveld-Giessendam""",18413,253,184,691,"0,53"
"""2019""","""Haren""",,,,,
"""2020""","""Haren""",,,,,
"""2021*""","""Haren""",,,,,
"""2019""","""Harenkarspel""",,,,,
"""2020""","""Harenkarspel""",,,,,
"""2021*""","""Harenkarspel""",,,,,
"""2019""","""Harlingen""",15758,111,170,664,"-0,23"
"""2020""","""Harlingen""",15722,103,185,607,"0,54"
"""2021*""","""Harlingen""",15807,153,202,599,"0,63"
"""2019""","""Hattem""",12173,102,129,487,"0,3"
"""2020""","""Hattem""",12209,125,124,500,"0,16"
"""2021*""","""Hattem""",12228,127,119,459,"0,63"
"""2019""","""Heel""",,,,,
"""2020""","""Heel""",,,,,
"""2021*""","""Heel""",,,,,
"""2019""","""Heemskerk""",39164,320,399,1600,"0,05"
"""2020""","""Heemskerk""",39182,368,448,1651,"0,02"
"""2021*""","""Heemskerk""",39191,377,451,1515,"-0,02"
"""2019""","""Heemstede""",27286,213,341,1535,"-0,19"
"""2020""","""Heemstede""",27234,217,403,1620,"1,14"
"""2021*""","""Heemstede""",27545,218,369,1558,"0,05"
"""2019""","""Heerde""",18546,153,245,643,"0,23"
"""2020""","""Heerde""",18589,167,260,666,"1,01"
"""2021*""","""Heerde""",18776,167,209,683,"1,08"
"""2019""","""Heerenveen""",50257,427,494,2053,"0,47"
"""2020""","""Heerenveen""",50493,451,547,2001,"0,31"
"""2021*""","""Heerenveen""",50650,451,533,1928,"0,93"
"""2019""","""Heerhugowaard""",56742,557,374,2952,"1,49"
"""2020""","""Heerhugowaard""",57587,617,453,2998,"1,39"
"""2021*""","""Heerhugowaard""",58387,665,466,2868,"1,1"
"""2019""","""Heerjansdam""",,,,,
"""2020""","""Heerjansdam""",,,,,
"""2021*""","""Heerjansdam""",,,,,
"""2019""","""Heerlen""",86832,669,1066,4347,"0,29"
"""2020""","""Heerlen""",87086,694,1168,4617,"-0,17"
"""2021*""","""Heerlen""",86936,692,1271,4689,"-0,09"
"""2019""","""Heeze-Leende""",15964,149,165,570,"1,18"
"""2020""","""Heeze-Leende""",16152,121,181,590,"0,56"
"""2021*""","""Heeze-Leende""",16243,150,178,580,"1,45"
"""2019""","""Heiloo""",23464,172,189,1033,"2,15"
"""2020""","""Heiloo""",23968,181,263,1157,"0,73"
"""2021*""","""Heiloo""",24144,188,274,949,"1,13"
"""2019""","""Helden""",,,,,
"""2020""","""Helden""",,,,,
"""2021*""","""Helden""",,,,,
"""2019""","""Den Helder""",55604,527,582,1848,"1,24"
"""2020""","""Den Helder""",56296,483,614,1870,"0,51"
"""2021*""","""Den Helder""",56582,515,697,2331,"-0,43"
"""2019""","""Hellendoorn""",35808,346,333,867,"0,3"
"""2020""","""Hellendoorn""",35916,312,390,905,"0,04"
"""2021*""","""Hellendoorn""",35932,352,397,852,"0,03"
"""2019""","""Hellevoetsluis""",40049,318,347,1553,"0,23"
"""2020""","""Hellevoetsluis""",40142,338,342,1476,"0,42"
"""2021*""","""Hellevoetsluis""",40312,352,376,1359,"0,64"
"""2019""","""Helmond""",91524,914,711,3117,"0,98"
"""2020""","""Helmond""",92423,823,870,3436,"0,22"
"""2021*""","""Helmond""",92627,943,870,3309,"0,91"
"""2019""","""Hendrik-Ido-Ambacht""",30966,406,228,1403,"0,76"
"""2020""","""Hendrik-Ido-Ambacht""",31202,417,251,1312,"0,18"
"""2021*""","""Hendrik-Ido-Ambacht""",31258,376,258,1397,"1,29"
"""2019""","""Hengelo (Gld.)""",,,,,
"""2020""","""Hengelo (Gld.)""",,,,,
"""2021*""","""Hengelo (Gld.)""",,,,,
"""2019""","""Hengelo (O.)""",80683,669,803,2767,"0,57"
"""2020""","""Hengelo (O.)""",81140,697,868,3350,"-0,11"
"""2021*""","""Hengelo (O.)""",81049,703,852,3129,"0,47"
"""2019""","""'s-Hertogenbosch""",154205,1540,1331,6840,"0,59"
"""2020""","""'s-Hertogenbosch""",155111,1524,1493,7275,"0,24"
"""2021*""","""'s-Hertogenbosch""",155490,1691,1496,6969,"0,66"
"""2019""","""Heumen""",16486,98,159,902,"-0,19"
"""2020""","""Heumen""",16454,140,166,816,"0,7"
"""2021*""","""Heumen""",16569,129,152,758,"3,79"
"""2019""","""Heusden""",44135,397,364,1529,"1,26"
"""2020""","""Heusden""",44692,369,423,1612,"0,7"
"""2021*""","""Heusden""",45005,454,422,1643,"1,25"
"""2019""","""Heythuysen""",,,,,
"""2020""","""Heythuysen""",,,,,
"""2021*""","""Heythuysen""",,,,,
"""2019""","""Hillegom""",21966,218,218,898,"1,11"
"""2020""","""Hillegom""",22209,210,219,1064,"-0,05"
"""2021*""","""Hillegom""",22197,238,277,981,"0,55"
"""2019""","""Hilvarenbeek""",15334,112,116,459,"1,2"
"""2020""","""Hilvarenbeek""",15518,152,154,549,"1,16"
"""2021*""","""Hilvarenbeek""",15698,134,144,471,"0,69"
"""2019""","""Hilversum""",90238,893,879,5451,"0,66"
"""2020""","""Hilversum""",90831,915,922,5256,"0,44"
"""2021*""","""Hilversum""",91235,934,953,5359,"0,53"
"""2019""","""Hoeksche Waard""",86656,782,796,1920,"0,86"
"""2020""","""Hoeksche Waard""",87401,792,858,1993,"0,74"
"""2021*""","""Hoeksche Waard""",88047,839,852,2194,"0,77"
"""2019""","""Hof van Twente""",34940,246,369,1021,"0,22"
"""2020""","""Hof van Twente""",35017,260,417,1077,"0,07"
"""2021*""","""Hof van Twente""",35040,288,475,1017,"0,05"
"""2019""","""Het Hogeland""",47888,415,490,1718,"-0,18"
"""2020""","""Het Hogeland""",47801,386,495,1659,"0,07"
"""2021*""","""Het Hogeland""",47834,412,504,1578,"0,36"
"""2019""","""Hollands Kroon""",47815,420,377,1753,"1,29"
"""2020""","""Hollands Kroon""",48432,430,409,1790,"0,31"
"""2021*""","""Hollands Kroon""",48583,440,453,1649,"0,42"
"""2019""","""Hontenisse""",,,,,
"""2020""","""Hontenisse""",,,,,
"""2021*""","""Hontenisse""",,,,,
"""2019""","""Hoogeveen""",55662,536,520,2061,"0,07"
"""2020""","""Hoogeveen""",55699,513,597,2026,"-0,17"
"""2021*""","""Hoogeveen""",55603,555,671,2087,"0,48"
"""2019""","""Hoogezand-Sappemeer""",,,,,
"""2020""","""Hoogezand-Sappemeer""",,,,,
"""2021*""","""Hoogezand-Sappemeer""",,,,,
"""2019""","""Hoorn""",73004,743,679,2638,"0,35"
"""2020""","""Hoorn""",73261,761,689,2797,"0,49"
"""2021*""","""Hoorn""",73619,765,745,2707,"0,94"
"""2019""","""Horst aan de Maas""",42291,353,419,1282,"0,33"
"""2020""","""Horst aan de Maas""",42429,327,455,1185,"0,14"
"""2021*""","""Horst aan de Maas""",42487,401,422,1139,"1,3"
"""2019""","""Houten""",49911,500,265,1939,"0,47"
"""2020""","""Houten""",50146,489,324,2146,"0,15"
"""2021*""","""Houten""",50223,536,305,2116,"0,21"
"""2019""","""Huizen""",41273,343,425,1743,0
"""2020""","""Huizen""",41273,326,488,2009,"-0,44"
"""2021*""","""Huizen""",41090,356,470,2057,"-0,36"
"""2019""","""Hulst""",27524,182,277,692,"0,12"
"""2020""","""Hulst""",27556,202,320,698,"0,07"
"""2021*""","""Hulst""",27575,177,322,663,"-0,16"
"""2019""","""Hummelo en Keppel""",,,,,
"""2020""","""Hummelo en Keppel""",,,,,
"""2021*""","""Hummelo en Keppel""",,,,,
"""2019""","""Hunsel""",,,,,
"""2020""","""Hunsel""",,,,,
"""2021*""","""Hunsel""",,,,,
"""2019""","""IJsselstein""",34160,298,293,1404,"-0,15"
"""2020""","""IJsselstein""",34109,311,329,1684,"-0,85"
"""2021*""","""IJsselstein""",33819,321,304,1675,"-1,13"
"""2019""","""Jacobswoude""",,,,,
"""2020""","""Jacobswoude""",,,,,
"""2021*""","""Jacobswoude""",,,,,
"""2019""","""Kaag en Braassem""",26866,285,215,931,"1,6"
"""2020""","""Kaag en Braassem""",27297,267,218,1073,"0,89"
"""2021*""","""Kaag en Braassem""",27541,308,227,1046,"1,29"
"""2019""","""Kampen""",53779,629,398,1449,1
"""2020""","""Kampen""",54319,637,476,1631,"0,29"
"""2021*""","""Kampen""",54474,692,438,1513,"0,56"
"""2019""","""Kapelle""",12785,114,111,689,"-0,7"
"""2020""","""Kapelle""",12695,132,105,528,"1,47"
"""2021*""","""Kapelle""",12882,129,112,515,"1,09"
"""2019""","""Katwijk""",65302,718,536,1630,"0,69"
"""2020""","""Katwijk""",65753,712,614,1814,"0,37"
"""2021*""","""Katwijk""",65995,767,564,1908,"0,07"
"""2019""","""Kerkrade""",45642,351,658,1921,"0,23"
"""2020""","""Kerkrade""",45749,322,732,2104,"-0,67"
"""2021*""","""Kerkrade""",45442,355,763,2159,"-0,33"
"""2019""","""Kessel""",,,,,
"""2020""","""Kessel""",,,,,
"""2021*""","""Kessel""",,,,,
"""2019""","""Kesteren""",,,,,
"""2020""","""Kesteren""",,,,,
"""2021*""","""Kesteren""",,,,,
"""2019""","""Koggenland""",22738,183,187,907,"0,05"
"""2020""","""Koggenland""",22749,201,196,907,"0,84"
"""2021*""","""Koggenland""",22940,247,205,914,"0,44"
"""2019""","""Kollumerland en Nieuwkruisland""",,,,,
"""2020""","""Kollumerland en Nieuwkruisland""",,,,,
"""2021*""","""Kollumerland en Nieuwkruisland""",,,,,
"""2019""","""Korendijk""",,,,,
"""2020""","""Korendijk""",,,,,
"""2021*""","""Korendijk""",,,,,
"""2019""","""Krimpen aan den IJssel""",29376,321,283,1091,"0,51"
"""2020""","""Krimpen aan den IJssel""",29526,268,352,1303,"-0,39"
"""2021*""","""Krimpen aan den IJssel""",29410,311,331,1221,"0,02"
"""2019""","""Krimpenerwaard""",56048,588,475,1778,"0,48"
"""2020""","""Krimpenerwaard""",56319,589,513,1861,"0,54"
"""2021*""","""Krimpenerwaard""",56622,652,496,1728,"0,78"
"""2019""","""Laarbeek""",22333,214,217,779,"0,85"
"""2020""","""Laarbeek""",22523,198,257,719,"1,25"
"""2021*""","""Laarbeek""",22805,250,230,754,"0,61"
"""2019""","""Land van Cuijk""",,,,,
"""2020""","""Land van Cuijk""",,,,,
"""2021*""","""Land van Cuijk""",,,,,
"""2019""","""Landerd""",15529,121,143,556,"1,29"
"""2020""","""Landerd""",15730,140,163,576,"0,55"
"""2021*""","""Landerd""",15817,156,162,522,"0,62"
"""2019""","""Landgraaf""",37591,278,428,1753,"-0,39"
"""2020""","""Landgraaf""",37445,291,483,1765,"-0,49"
"""2021*""","""Landgraaf""",37262,281,549,1780,"-0,66"
"""2019""","""Landsmeer""",11488,102,99,505,"0,03"
"""2020""","""Landsmeer""",11491,90,106,544,"0,64"
"""2021*""","""Landsmeer""",11565,102,98,565,"-0,04"
"""2019""","""Langedijk""",27992,261,186,1371,"0,61"
"""2020""","""Langedijk""",28163,281,205,1378,"0,61"
"""2021*""","""Langedijk""",28335,281,247,1264,"1,02"
"""2019""","""Lansingerland""",61601,666,389,2193,"1,25"
"""2020""","""Lansingerland""",62384,709,423,2279,"1,57"
"""2021*""","""Lansingerland""",63363,749,431,2393,"1,19"
"""2019""","""Laren (NH.)""",11195,76,234,679,"0,76"
"""2020""","""Laren (NH.)""",11280,96,289,733,"1,05"
"""2021*""","""Laren (NH.)""",11398,79,280,749,"1,12"
"""2019""","""Leek""",,,,,
"""2020""","""Leek""",,,,,
"""2021*""","""Leek""",,,,,
"""2019""","""Leerdam""",,,,,
"""2020""","""Leerdam""",,,,,
"""2021*""","""Leerdam""",,,,,
"""2019""","""Leersum""",,,,,
"""2020""","""Leersum""",,,,,
"""2021*""","""Leersum""",,,,,
"""2019""","""Leeuwarden""",123107,1181,1181,5946,"0,79"
"""2020""","""Leeuwarden""",124084,1140,1100,6142,"0,32"
"""2021*""","""Leeuwarden""",124481,1290,1235,5714,"0,83"
"""2019""","""Leeuwarderadeel""",,,,,
"""2020""","""Leeuwarderadeel""",,,,,
"""2021*""","""Leeuwarderadeel""",,,,,
"""2019""","""Leiden""",124899,1112,992,8462,"0,16"
"""2020""","""Leiden""",125099,1094,1008,9181,"-0,8"
"""2021*""","""Leiden""",124093,1087,1054,8553,"0,81"
"""2019""","""Leiderdorp""",27109,277,239,1395,"-0,2"
"""2020""","""Leiderdorp""",27056,242,249,1395,"1,19"
"""2021*""","""Leiderdorp""",27377,244,252,1440,"0,31"
"""2019""","""Leidschendam-Voorburg""",75425,811,755,4050,"1,47"
"""2020""","""Leidschendam-Voorburg""",76534,697,806,4675,"-0,13"
"""2021*""","""Leidschendam-Voorburg""",76433,755,820,4753,"0,28"
"""2019""","""Lelystad""",77893,783,599,3185,"0,91"
"""2020""","""Lelystad""",78598,814,683,3099,"1,54"
"""2021*""","""Lelystad""",79811,862,685,3191,"1,74"
"""2019""","""Lemsterland""",,,,,
"""2020""","""Lemsterland""",,,,,
"""2021*""","""Lemsterland""",,,,,
"""2019""","""Leudal""",35681,270,362,1583,"0,55"
"""2020""","""Leudal""",35879,275,451,1635,"0,46"
"""2021*""","""Leudal""",36045,280,436,1785,"-0,29"
"""2019""","""Leusden""",30030,282,235,1181,"1,24"
"""2020""","""Leusden""",30401,291,254,1436,"0,47"
"""2021*""","""Leusden""",30544,294,310,1330,"0,53"
"""2019""","""Lichtenvoorde""",,,,,
"""2020""","""Lichtenvoorde""",,,,,
"""2021*""","""Lichtenvoorde""",,,,,
"""2019""","""Liemeer""",,,,,
"""2020""","""Liemeer""",,,,,
"""2021*""","""Liemeer""",,,,,
"""2019""","""De Lier""",,,,,
"""2020""","""De Lier""",,,,,
"""2021*""","""De Lier""",,,,,
"""2019""","""Liesveld""",,,,,
"""2020""","""Liesveld""",,,,,
"""2021*""","""Liesveld""",,,,,
"""2019""","""Lingewaal""",,,,,
"""2020""","""Lingewaal""",,,,,
"""2021*""","""Lingewaal""",,,,,
"""2019""","""Lingewaard""",46475,382,381,1604,"0,27"
"""2020""","""Lingewaard""",46601,391,430,1654,"0,47"
"""2021*""","""Lingewaard""",46822,385,454,1595,"0,31"
"""2019""","""Lisse""",22800,220,187,965,"0,68"
"""2020""","""Lisse""",22955,218,231,908,"0,12"
"""2021*""","""Lisse""",22982,229,211,907,"0,13"
"""2019""","""Lith""",,,,,
"""2020""","""Lith""",,,,,
"""2021*""","""Lith""",,,,,
"""2019""","""Littenseradiel""",,,,,
"""2020""","""Littenseradiel""",,,,,
"""2021*""","""Littenseradiel""",,,,,
"""2019""","""Lochem""",33590,230,401,1435,"0,41"
"""2020""","""Lochem""",33729,205,445,1419,"0,65"
"""2021*""","""Lochem""",33948,250,460,1368,"0,36"
"""2019""","""Loenen""",,,,,
"""2020""","""Loenen""",,,,,
"""2021*""","""Loenen""",,,,,
"""2019""","""Loon op Zand""",23327,222,220,1018,"0,35"
"""2020""","""Loon op Zand""",23408,202,274,1071,"0,41"
"""2021*""","""Loon op Zand""",23504,254,267,1045,"1,14"
"""2019""","""Lopik""",14473,166,86,603,"-0,04"
"""2020""","""Lopik""",14467,144,89,621,"-0,08"
"""2021*""","""Lopik""",14456,150,102,663,"0,39"
